abstract,cleaned_abstract,topic
"A computer-implemented framework and/or system for cyberbullying detection is disclosed. The system includes two main components: (1) A representation learning network that encodes the social media session by exploiting multi-modal features, e.g., text, network, and time; and (2) a multi-task learning network that simultaneously fits the comment inter-arrival times and estimates the bullying likelihood based on a Gaussian Mixture Model. The system jointly optimizes the parameters of both components to overcome the shortcomings of decoupled training. The system includes an unsupervised cyberbullying detection model that not only experimentally outperforms the state-of-the-art unsupervised models, but also achieves competitive performance compared to supervised models.",computerimplemented framework andor system cyberbullying detection disclosed system includes two main component representation learning network encodes social medium session exploiting multimodal feature text network time multitask learning network simultaneously fit comment interarrival time estimate bullying likelihood based gaussian mixture model system jointly optimizes parameter component overcome shortcoming decoupled training system includes unsupervised cyberbullying detection model experimentally outperforms stateoftheart unsupervised model also achieves competitive performance compared supervised model,0
"An abuser detection method, apparatus, system, and/or non-transitory computer readable medium may decrease and/or prevent an occurrence of abuse by detecting an abuser based on features of users of a service and imposing a restriction on the abuser before the abuse occurs.",abuser detection method apparatus system andor nontransitory computer readable medium may decrease andor prevent occurrence abuse detecting abuser based feature user service imposing restriction abuser abuse occurs,1
"In some cases, a verbal harassment detection system may use machine learning models to detect verbal harassment in real-time or near real-time. The system may receive an audio segment comprising a portion of audio captured by a microphone located within a vehicle. Further, the system may convert the audio segment to a text segment. The system may provide at least the text segment to a prediction model associated with verbal harassment detection to obtain a harassment prediction. Further, the system may provide the audio segment to an emotion detector to obtain a detected emotion of a speaking user that made an utterance included in the audio segment. Based at least in part on the harassment prediction and the detected emotion, the system may automatically, and without user intervention, determine whether a user is being harassed.",case verbal harassment detection system may use machine learning model detect verbal harassment realtime near realtime system may receive audio segment comprising portion audio captured microphone located within vehicle system may convert audio segment text segment system may provide least text segment prediction model associated verbal harassment detection obtain harassment prediction system may provide audio segment emotion detector obtain detected emotion speaking user made utterance included audio segment based least part harassment prediction detected emotion system may automatically without user intervention determine whether user harassed,-1
"A system and method are provided for generating a trained model to filter data sets for filtering hate speech. The method includes obtaining an unfiltered corpus of data, obtaining a set of trigger phrases, and using the set of trigger phrases to generate a trained model which comprises at least one conditional likelihood of the trigger phrases conditioned on documents in the corpus of data. A system and method are also provided for filtering data sets for hate speech using pre-trained models. The method includes obtaining a pretrained model generated using a set of trigger phrases and which comprises at least one conditional likelihood of the trigger phrases conditioned on document in a corpus of data used to generate the pretrained model; using the pretrained model to filter an unfiltered dataset and generate a filtered dataset; and outputting the filtered dataset.",system method provided generating trained model filter data set filtering hate speech method includes obtaining unfiltered corpus data obtaining set trigger phrase using set trigger phrase generate trained model comprises least one conditional likelihood trigger phrase conditioned document corpus data system method also provided filtering data set hate speech using pretrained model method includes obtaining pretrained model generated using set trigger phrase comprises least one conditional likelihood trigger phrase conditioned document corpus data used generate pretrained model using pretrained model filter unfiltered dataset generate filtered dataset outputting filtered dataset,0
"A technique is provided for detecting whether consumer abuse has occurred in an electronic device. In accordance with this technique, a system is provided for detecting the occurrence of a consumer abuse event and storing a record thereof. In one embodiment, the system provides one or more sensors coupled to an abuse detection circuitry for detecting the occurrence of an abuse event. The system may further provide a memory, wherein upon detecting an abuse event, the abuse detection circuitry may store a record of the abuse event into the memory. The system may further provide an interface by which a diagnostic device may access the memory and analyze the abuse event records to determine if an abuse event occurred in the electronic device.",technique provided detecting whether consumer abuse occurred electronic device accordance technique system provided detecting occurrence consumer abuse event storing record thereof one embodiment system provides one sensor coupled abuse detection circuitry detecting occurrence abuse event system may provide memory wherein upon detecting abuse event abuse detection circuitry may store record abuse event memory system may provide interface diagnostic device may access memory analyze abuse event record determine abuse event occurred electronic device,1
"A scale incorporating an abuse detection and recordal system has a scale for weighing an article placed thereon, the scale defining a surface adapted to support the article thereon and a component damageable by an excessive force downwardly directed on the support surface. A frangible layer is disposed on the support surface and frangible by a downwardly directed force less than the excessive force required to damage the component, whereby the frangible layer acts as an abuse detection and recordal system to detect and record the use of such force.",scale incorporating abuse detection recordal system scale weighing article placed thereon scale defining surface adapted support article thereon component damageable excessive force downwardly directed support surface frangible layer disposed support surface frangible downwardly directed force less excessive force required damage component whereby frangible layer act abuse detection recordal system detect record use force,1
"An account abuse detection or prevention device, a data collection device, and an account abuse detection or prevention program, which are capable of promptly detecting or preventing abuse of an account. An account abuse detection device (6) includes an access-amount-related value information receiving unit (11) and a detection unit (12). The access-amount-related value information receiving unit (11) receives access-amount-related value information from a management device (3). The management device (3) manages a specific account. The specific account is used when transmitting data from a plurality of data transmission devices (2) to a data collection device (5) via a public network. Access-amount-related value information is related to an access-amount-related value. The access-amount-related value is related to the amount of access by the public network (4) through the account. The detection unit (12) compares the access-amount-related value to a predetermined threshold value to detect abuse of the account.",account abuse detection prevention device data collection device account abuse detection prevention program capable promptly detecting preventing abuse account account abuse detection device includes accessamountrelated value information receiving unit detection unit accessamountrelated value information receiving unit receives accessamountrelated value information management device management device manages specific account specific account used transmitting data plurality data transmission device data collection device via public network accessamountrelated value information related accessamountrelated value accessamountrelated value related amount access public network account detection unit compare accessamountrelated value predetermined threshold value detect abuse account,1
"A system for detecting abusive operation of transport refrigeration units (28) is provided. The system includes a storage device (80) to store abuse parameters associated with a transport refrigeration unit (28). Also included is an abuse detection system coupled to the storage device, the abuse detection system including: a diagnostic module (92) to determine the occurrence of abusive operation of the transport refrigeration unit in response to the abuse parameters; a failure probability module (94) to determine a probability of failure for at least one component of the transport refrigeration unit in response to the abuse parameters; and a life extending module (96) to determine adjustments in the operation of at least one component of the transport refrigeration unit in response to the probability of failure.",system detecting abusive operation transport refrigeration unit provided system includes storage device store abuse parameter associated transport refrigeration unit also included abuse detection system coupled storage device abuse detection system including diagnostic module determine occurrence abusive operation transport refrigeration unit response abuse parameter failure probability module determine probability failure least one component transport refrigeration unit response abuse parameter life extending module determine adjustment operation least one component transport refrigeration unit response probability failure,1
"An online service abuser detection method, apparatus, system, and/or non-transitory computer readable medium may decrease and/or prevent an occurrence of abuse by users of an online service by detecting an abuser based on features of users of the online service and imposing a restriction on the abuser before the abuse is transmitted to the other users of the online service.",online service abuser detection method apparatus system andor nontransitory computer readable medium may decrease andor prevent occurrence abuse user online service detecting abuser based feature user online service imposing restriction abuser abuse transmitted user online service,1
"Some embodiments use text and/or image processing methods to determine whether a user of an electronic messaging platform is subject to an online threat such as cyberbullying, sexual grooming, and identity theft, among others. In some embodiments, a text content of electronic messages is automatically harvested and aggregated into conversations. Conversation data are then analyzed to extract various threat indicators. A result of a text analysis may be combined with a result of an analysis of an image transmitted as part of the respective conversation. When a threat is detected, some embodiments automatically send a notification to a third party (e.g., parent, teacher, etc.)",embodiment use text andor image processing method determine whether user electronic messaging platform subject online threat cyberbullying sexual grooming identity theft among others embodiment text content electronic message automatically harvested aggregated conversation conversation data analyzed extract various threat indicator result text analysis may combined result analysis image transmitted part respective conversation threat detected embodiment automatically send notification third party parent teacher etc,-1
"Cyberbullying may be mitigated by intercepting and accurately analyzing the sentiment of the social media messages before presenting them to the intended recipient device. Based on the sentiment of the messages and the sender category, the abusive messages may be sent to an administrator for review and to take appropriate action. As a result, such messages may be blocked from the intended recipient device. The system may analyse the sentiment of the messages using a machine learning approach, for instance employing a Naive Bayes algorithm. An inference model may be generated via the machine learning. The inference model may produce a metric that is used when evaluating the message sentiment.",cyberbullying may mitigated intercepting accurately analyzing sentiment social medium message presenting intended recipient device based sentiment message sender category abusive message may sent administrator review take appropriate action result message may blocked intended recipient device system may analyse sentiment message using machine learning approach instance employing naive bayes algorithm inference model may generated via machine learning inference model may produce metric used evaluating message sentiment,0
"A machine learning-based system and method for content clustering and content threat assessment includes generating embedding values for each piece of content of corpora of content data; implementing unsupervised machine learning models that: receive model input comprising the embeddings values of each piece of content of the corpora of content data; and predict distinct clusters of content data based on the embeddings values of the corpora of content data; assessing the distinct clusters of content data; associating metadata with each piece of content defining a member in each of the distinct clusters of content data based on the assessment, wherein the associating the metadata includes attributing to each piece of content within the clusters of content data a classification label of one of digital abuse/digital fraud and not digital abuse/digital fraud; and identifying members or content clusters having digital fraud/digital abuse based on querying the distinct clusters of content data.",machine learningbased system method content clustering content threat assessment includes generating embedding value piece content corpus content data implementing unsupervised machine learning model receive model input comprising embeddings value piece content corpus content data predict distinct cluster content data based embeddings value corpus content data assessing distinct cluster content data associating metadata piece content defining member distinct cluster content data based assessment wherein associating metadata includes attributing piece content within cluster content data classification label one digital abusedigital fraud digital abusedigital fraud identifying member content cluster digital frauddigital abuse based querying distinct cluster content data,2
"A system and method for automated anomaly detection in automated disposal decisions of an automated decisioning workflow includes collecting a time-series of automated disposal decision data for a current period from an automated decisioning workflow, wherein the automated decisioning workflow computes one of a plurality of distinct disposal decisions for each distinct input comprising subject online event data and a machine learning-based threat score computed for the subject online event data; selecting an anomaly detection algorithm from a plurality of distinct anomaly detection algorithms based on a type of online abuse or online fraud that the automated decisioning workflow is configured to evaluate; evaluating, using the selected anomaly detection algorithm, the time-series of automated decision data for the current period; computing whether anomalies exist in the time-series of automated disposal decision data for the current period based on the evaluation; and generating an anomaly alert based on the computation.",system method automated anomaly detection automated disposal decision automated decisioning workflow includes collecting timeseries automated disposal decision data current period automated decisioning workflow wherein automated decisioning workflow computes one plurality distinct disposal decision distinct input comprising subject online event data machine learningbased threat score computed subject online event data selecting anomaly detection algorithm plurality distinct anomaly detection algorithm based type online abuse online fraud automated decisioning workflow configured evaluate evaluating using selected anomaly detection algorithm timeseries automated decision data current period computing whether anomaly exist timeseries automated disposal decision data current period based evaluation generating anomaly alert based computation,2
A method for preventing cyberbullying on a social media messaging platform by limiting comments to user submitted content posts to only two-user conversation exchanges between the author of the content post and the person initiating the conversation exchange. The two users in the conversation exchange are able to submit replies only when it is their turn such that both participants may terminate the conversation exchange by failing to reply to the immediately preceding post by the other user.,method preventing cyberbullying social medium messaging platform limiting comment user submitted content post twouser conversation exchange author content post person initiating conversation exchange two user conversation exchange able submit reply turn participant may terminate conversation exchange failing reply immediately preceding post user,0
"To provide a harassment detection program, a harassment detection system, and a harassment detection method for appropriately detecting occurrence of harassment.SOLUTION: A harassment detection program acquires collation information for collating voice data on a first person with the positions of the first person and a second person, that is, collation information related to the first person, and acquires physical information data and collation information on the second person, and detects first suspicions related to harassment of the first person on the basis of the voice data on the first person, and detects second suspicions related to harassment of the second person on the basis of the physical information data acquired in relation to the second person, and detects occurrence of harassment between the first person and the second person on the basis of a collation result between a detection period of the first suspicions and a detection period of the second suspicions and the collation information acquired in relation to the first person and the collation information acquired in relation to the second person.SELECTED DRAWING: Figure 13",provide harassment detection program harassment detection system harassment detection method appropriately detecting occurrence harassmentsolution harassment detection program acquires collation information collating voice data first person position first person second person collation information related first person acquires physical information data collation information second person detects first suspicion related harassment first person basis voice data first person detects second suspicion related harassment second person basis physical information data acquired relation second person detects occurrence harassment first person second person basis collation result detection period first suspicion detection period second suspicion collation information acquired relation first person collation information acquired relation second personselected drawing figure,-1
"Systems and methods include: implementing a first machine learning model to generate an output of a global digital threat score for an online activity based on an input of the collected digital event data; implementing a second machine learning model that generates a category inference of a category of digital fraud or a category of digital abuse from a plurality of digital fraud or digital abuse categories; selecting a third machine learning model from an ensemble of digital fraud or digital abuse machine learning models based on the category inference generated by the second machine learning model, wherein the ensemble of digital fraud or digital abuse machine learning models comprise a plurality of disparate digital fraud or digital abuse category-specific machine learning models; and implementing the selected third machine learning model to generate a digital fraud or digital abuse category-specific threat score based on the digital event data.",system method include implementing first machine learning model generate output global digital threat score online activity based input collected digital event data implementing second machine learning model generates category inference category digital fraud category digital abuse plurality digital fraud digital abuse category selecting third machine learning model ensemble digital fraud digital abuse machine learning model based category inference generated second machine learning model wherein ensemble digital fraud digital abuse machine learning model comprise plurality disparate digital fraud digital abuse categoryspecific machine learning model implementing selected third machine learning model generate digital fraud digital abuse categoryspecific threat score based digital event data,2
"A water-in-fuel abuse detection system provides a way to determine if a vehicle operator has ignored a conventional water-in-fuel indicator light and continued to operate the vehicle beyond a certain threshold. The system includes a sensor positioned in a fuel filter capable of separating an amount of water from a source of fuel. The sensor is operatively connected to a software routine, as well as to a conventional indicator light that illuminates to alert a vehicle operator that water must be purged from the fuel filtration system. The software routine determines the duration, in distance traversed or time elapsed, that the amount of water is at or above the level of the sensor. The routine then writes a fault code to permanent memory when the threshold is exceeded. A diagnostic tool can access the permanent memory and reveal whether the fuel system has be the subject of water-in-fuel abuse.",waterinfuel abuse detection system provides way determine vehicle operator ignored conventional waterinfuel indicator light continued operate vehicle beyond certain threshold system includes sensor positioned fuel filter capable separating amount water source fuel sensor operatively connected software routine well conventional indicator light illuminates alert vehicle operator water must purged fuel filtration system software routine determines duration distance traversed time elapsed amount water level sensor routine writes fault code permanent memory threshold exceeded diagnostic tool access permanent memory reveal whether fuel system subject waterinfuel abuse,1
"The present invention generally relates to a system for predicting hate speech on social networking platforms comprises a pre-processing module for pre-processing text speech collected from social media sites for removing unwanted information from the speech; a decision-making module for extracting features using adaptive polynomial lexicon partial least square method thereafter negation lexicon creation and correlation analysis using gold elephant herd optimization approach (GEHO); and a decision classification module for classifying the speech into hate speech and non-harmful speech depending upon ranking generated by a discrete feed forward perceptron neural network. fa a, I-",present invention generally relates system predicting hate speech social networking platform comprises preprocessing module preprocessing text speech collected social medium site removing unwanted information speech decisionmaking module extracting feature using adaptive polynomial lexicon partial least square method thereafter negation lexicon creation correlation analysis using gold elephant herd optimization approach geho decision classification module classifying speech hate speech nonharmful speech depending upon ranking generated discrete feed forward perceptron neural network,0
"In some cases, lower quality, large scale training data can be automatically generated by automatic labeling. The generated training data can be used to pre-train a machine learning model. For instance, the model can be a model for detection of verbal harassment. Parameters of the pre-trained model can be refined or updated using another one or more higher-quality sets of training data, with which the model can be subsequently trained.",case lower quality large scale training data automatically generated automatic labeling generated training data used pretrain machine learning model instance model model detection verbal harassment parameter pretrained model refined updated using another one higherquality set training data model subsequently trained,0
"Example implementations described herein are directed to systems, methods, and computer programs for the management of live or streaming broadcasts for policy violations, which can include buffering a live stream broadcast, processing the buffered live stream broadcast with one or more processors configured with a machine learning algorithm for detecting a policy violation, and for the processing indicative of the policy violation existing in the buffered live stream broadcast, causing the buffered live stream broadcast to be modified. Such policy violations can include nudity, hate speech, copyright infringement, age inappropriate content and other violations in accordance with the desired implementation.",example implementation described herein directed system method computer program management live streaming broadcast policy violation include buffering live stream broadcast processing buffered live stream broadcast one processor configured machine learning algorithm detecting policy violation processing indicative policy violation existing buffered live stream broadcast causing buffered live stream broadcast modified policy violation include nudity hate speech copyright infringement age inappropriate content violation accordance desired implementation,0
"A method of an electronic device for abuse detection and notification is disclosed herewith. The method includes monitoring one or more parameters at the electronic device for one or more physical events, the parameter(s) being associated with one or more imagers. The method further includes identifying the physical event(s) at the electronic device by determining that each parameter exceeds a corresponding threshold value. Next, the method provides storing event data corresponding to the physical event(s), in which at least a portion of the event data is associated with the parameter(s). The method further includes generating a notification associated with the physical event(s).",method electronic device abuse detection notification disclosed herewith method includes monitoring one parameter electronic device one physical event parameter associated one imagers method includes identifying physical event electronic device determining parameter exceeds corresponding threshold value next method provides storing event data corresponding physical event least portion event data associated parameter method includes generating notification associated physical event,1
"A method, computer program product, and computing system for: receiving a request from a user to use grounding material in a generative AI system; establishing a network connection with trusted-source material to allow access to the trusted-source material; processing the grounding material to confirm the integrity of the grounding material; and allowing the grounding material to be utilized in the generative AI system if the integrity of the grounding material is confirmed.",method computer program product computing system receiving request user use grounding material generative system establishing network connection trustedsource material allow access trustedsource material processing grounding material confirm integrity grounding material allowing grounding material utilized generative system integrity grounding material confirmed,-1
A computing system includes two separate computer modules within the same computing housing. The computing system protects data from one computer from online threats by permanently keeping the computer offline and disconnected from networks or the Internet. Sensitive or important data may thus be worked on without fear of exposure to online threats that may sneak into the data storage using subterfuge or undetected entry. The user may switch to the other computer which has network connectivity to access network data or the Internet while the data in the offline computer is safely disconnected and protected from access by the other computer's connectivity.,computing system includes two separate computer module within computing housing computing system protects data one computer online threat permanently keeping computer offline disconnected network internet sensitive important data may thus worked without fear exposure online threat may sneak data storage using subterfuge undetected entry user may switch computer network connectivity access network data internet data offline computer safely disconnected protected access computer connectivity,2
